Epoch: 00, Loss: 7.0562, Train acc: 54.36%, Valid acc: 48.17%, Test acc: 53.67%, Train rocauc: 55.17%, Valid rocauc: 51.39%, Test rocauc: 42.61%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 01, Loss: 7.4102, Train acc: 54.36%, Valid acc: 48.17%, Test acc: 53.67%, Train rocauc: 62.77%, Valid rocauc: 55.42%, Test rocauc: 46.31%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 02, Loss: 7.0900, Train acc: 54.36%, Valid acc: 48.17%, Test acc: 53.67%, Train rocauc: 68.28%, Valid rocauc: 59.54%, Test rocauc: 50.31%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 03, Loss: 6.8573, Train acc: 45.64%, Valid acc: 51.83%, Test acc: 46.33%, Train rocauc: 72.46%, Valid rocauc: 62.17%, Test rocauc: 53.06%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 04, Loss: 6.9783, Train acc: 45.64%, Valid acc: 51.83%, Test acc: 46.33%, Train rocauc: 75.60%, Valid rocauc: 63.90%, Test rocauc: 54.79%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 05, Loss: 7.0361, Train acc: 45.64%, Valid acc: 51.83%, Test acc: 46.33%, Train rocauc: 78.03%, Valid rocauc: 64.57%, Test rocauc: 56.26%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 06, Loss: 6.9249, Train acc: 54.59%, Valid acc: 49.08%, Test acc: 53.67%, Train rocauc: 79.75%, Valid rocauc: 65.32%, Test rocauc: 56.93%, Train recall: 0.50%, Valid recall: 1.77%, Test recall: 0.00%
Epoch: 07, Loss: 6.8224, Train acc: 54.36%, Valid acc: 48.17%, Test acc: 53.67%, Train rocauc: 80.95%, Valid rocauc: 65.91%, Test rocauc: 57.21%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 08, Loss: 6.8122, Train acc: 54.36%, Valid acc: 48.17%, Test acc: 53.67%, Train rocauc: 81.81%, Valid rocauc: 66.38%, Test rocauc: 58.16%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 09, Loss: 6.8517, Train acc: 54.36%, Valid acc: 48.17%, Test acc: 53.67%, Train rocauc: 82.40%, Valid rocauc: 66.62%, Test rocauc: 58.56%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 10, Loss: 6.8708, Train acc: 54.36%, Valid acc: 48.17%, Test acc: 53.67%, Train rocauc: 82.84%, Valid rocauc: 66.94%, Test rocauc: 58.97%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 11, Loss: 6.8447, Train acc: 54.36%, Valid acc: 48.17%, Test acc: 53.67%, Train rocauc: 83.14%, Valid rocauc: 67.23%, Test rocauc: 59.32%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 12, Loss: 6.7940, Train acc: 54.36%, Valid acc: 48.17%, Test acc: 53.67%, Train rocauc: 83.41%, Valid rocauc: 67.33%, Test rocauc: 59.43%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 13, Loss: 6.7533, Train acc: 55.28%, Valid acc: 49.08%, Test acc: 53.67%, Train rocauc: 83.61%, Valid rocauc: 67.51%, Test rocauc: 59.77%, Train recall: 2.01%, Valid recall: 1.77%, Test recall: 0.00%
Epoch: 14, Loss: 6.7423, Train acc: 75.69%, Valid acc: 61.47%, Test acc: 56.42%, Train rocauc: 83.77%, Valid rocauc: 67.57%, Test rocauc: 60.07%, Train recall: 68.84%, Valid recall: 57.52%, Test recall: 53.47%
Epoch: 15, Loss: 6.7518, Train acc: 66.06%, Valid acc: 61.01%, Test acc: 56.42%, Train rocauc: 83.94%, Valid rocauc: 67.73%, Test rocauc: 60.30%, Train recall: 86.93%, Valid recall: 86.73%, Test recall: 79.21%
Epoch: 16, Loss: 6.7556, Train acc: 66.97%, Valid acc: 61.01%, Test acc: 54.59%, Train rocauc: 84.10%, Valid rocauc: 67.84%, Test rocauc: 60.35%, Train recall: 84.42%, Valid recall: 83.19%, Test recall: 74.26%
